2023-01-14|09:45:13|CoffeeShop|Downtown|D|4.75
2025-01-07|06:07:04|Subscription|Spotify|P|-312.75
2025-12-30|17:57:40|Electronics|Best Buy|D|259.12
2024-03-06|22:11:18|Electronics|Best Buy|P|-127.94
2025-01-18|22:37:26|Subscription|Netflix|D|419.94
2025-04-08|00:04:34|Gas|Shell|P|-201.49
2024-03-05|20:37:27|Subscription|Spotify|D|464.86
2025-03-10|17:27:37|Transport|Lyft|P|-60.34
2025-02-28|14:50:09|Online Shopping|Amazon|D|397.06
2023-09-10|00:36:34|Gas|Shell|P|-88.00
2022-11-13|01:03:09|Electronics|Best Buy|P|-119.37
2025-06-25|17:33:05|Transport|Uber|P|-391.72
2024-12-19|20:14:36|Transport|Uber|P|-207.73
2023-10-29|11:30:39|Coffee|Starbucks|D|17.07
2022-07-31|09:00:14|Pharmacy|CVS|D|355.20
2022-12-30|06:11:13|Subscription|Spotify|D|362.33
2022-07-30|02:51:41|Retail|Target|D|379.60
2023-08-27|17:38:25|Gas|Shell|D|54.52
2025-03-28|18:46:43|Hardware|Home Depot|P|-300.87
2022-07-02|17:47:05|Gas|Shell|P|-316.08
2024-08-29|17:14:16|Pharmacy|CVS|D|449.13
2022-01-22|23:40:15|Transport|Lyft|P|-77.56
2024-03-02|14:30:04|Coffee|Starbucks|P|-54.39
2025-08-01|09:02:04|Electronics|Best Buy|P|-126.39
2022-05-06|23:14:39|Fast Food|McDonald's|D|370.37
2023-01-31|02:00:50|Subscription|Spotify|D|431.45
2023-05-27|12:26:59|Transport|Lyft|P|-143.62
2025-06-18|20:00:56|Pharmacy|CVS|P|-428.82
2023-01-31|02:04:10|Hardware|Home Depot|D|307.91
2023-06-20|10:30:03|Hardware|Home Depot|P|-9.50
2025-08-18|05:52:03|Subscription|Netflix|P|-423.82
2022-10-22|05:13:49|Groceries|Walmart|D|275.23
2024-04-29|14:28:04|Pharmacy|CVS|P|-284.46
2022-09-09|17:15:51|Fast Food|McDonald's|D|23.71
2025-07-17|12:47:55|Electronics|Apple|D|163.95
2022-03-08|05:33:14|Electronics|Best Buy|D|330.40
2024-08-15|04:35:32|Transport|Uber|D|177.40
2022-02-04|03:39:57|Gas|Shell|D|474.33
2022-10-13|22:26:43|Transport|Lyft|P|-192.64
2023-05-03|17:45:22|Coffee|Starbucks|D|220.11
2025-09-08|07:22:19|Retail|Target|D|447.25
2024-03-18|00:14:41|Electronics|Best Buy|D|174.64
2024-10-06|13:49:20|Transport|Uber|D|405.10
2023-06-25|08:27:50|Transport|Uber|P|-260.59
2025-08-01|04:42:33|Transport|Lyft|D|79.15
2024-05-21|05:22:12|Transport|Lyft|P|-108.55
2023-05-09|13:54:50|Online Shopping|Amazon|P|-20.50
2024-04-22|22:13:31|Pharmacy|CVS|P|-135.18
2023-07-26|12:03:27|Subscription|Spotify|P|-419.09
2023-04-09|16:37:09|Subscription|Spotify|P|-115.49
2022-07-25|10:15:54|Fast Food|McDonald's|P|-88.36
2025-09-24|01:10:15|Groceries|Walmart|D|327.53
2022-04-29|12:16:16|Fast Food|McDonald's|P|-414.23
2025-10-09|17:11:50|Hardware|Home Depot|D|469.48
2024-03-04|17:57:17|Online Shopping|Amazon|D|77.40
2022-09-07|08:09:21|Transport|Uber|D|141.03
2023-09-26|23:47:20|Subscription|Netflix|P|-412.08
2023-12-31|09:38:55|Groceries|Walmart|D|26.20
2025-08-10|06:29:20|Pharmacy|CVS|D|420.90
2024-01-03|00:53:48|Subscription|Netflix|D|247.22
2022-03-17|01:18:39|Coffee|Starbucks|P|-283.79
2024-10-15|10:28:06|Subscription|Spotify|P|-104.56
2025-04-28|20:30:53|Fast Food|McDonald's|P|-498.23
2023-01-03|01:28:53|Subscription|Spotify|P|-285.46
2023-08-04|18:55:35|Subscription|Netflix|P|-153.63
2024-04-28|19:36:31|Hardware|Home Depot|P|-473.99
2025-03-04|06:08:59|Hardware|Home Depot|P|-475.00
2024-06-04|04:32:06|Fast Food|McDonald's|D|452.57
2025-05-16|10:48:41|Subscription|Spotify|P|-437.50
2025-08-04|13:28:47|Transport|Lyft|P|-119.15
2024-05-15|22:37:22|Electronics|Best Buy|D|51.17
2025-09-24|03:52:57|Gas|Shell|P|-108.82
2022-03-09|01:18:14|Subscription|Netflix|D|5.47
2022-11-17|09:10:14|Gas|Shell|D|271.68
2024-01-11|20:29:19|Electronics|Apple|P|-219.96
2024-09-11|22:35:52|Transport|Lyft|D|429.47
2024-07-01|04:50:10|Coffee|Starbucks|P|-331.11
2023-03-15|18:19:58|Electronics|Apple|P|-445.56
2022-01-28|02:07:40|Electronics|Apple|D|451.05
2022-03-22|15:20:43|Electronics|Best Buy|D|451.51
2023-09-22|01:20:48|Retail|Target|P|-320.57
2023-03-29|21:04:49|Gas|Shell|P|-108.92
2025-02-28|22:06:13|Retail|Target|P|-366.47
2022-11-16|21:44:15|Hardware|Home Depot|D|466.02
2024-04-11|15:21:02|Subscription|Spotify|D|198.11
2022-12-23|20:12:57|Transport|Lyft|P|-238.16
2025-08-31|06:19:12|Hardware|Home Depot|P|-439.28
2024-06-18|14:31:18|Fast Food|McDonald's|P|-273.33
2024-11-20|14:20:48|Groceries|Walmart|D|342.11
2024-05-08|11:39:34|Electronics|Apple|P|-452.85
2024-04-18|04:08:09|Transport|Uber|P|-354.31
2022-08-29|08:07:40|Electronics|Best Buy|P|-86.95
2023-03-24|18:43:48|Electronics|Best Buy|D|51.75
2022-11-06|15:22:25|Groceries|Walmart|P|-402.82
2023-10-01|18:35:04|Pharmacy|CVS|D|483.99
2025-06-25|01:13:55|Subscription|Spotify|D|19.93
2022-12-14|11:30:14|Electronics|Best Buy|P|-136.92
2024-02-22|01:03:41|Transport|Lyft|P|-89.95
2024-12-20|18:07:12|Online Shopping|Amazon|P|-434.06
2025-03-29|20:01:37|Groceries|Costco|D|415.48
2022-02-19|12:31:20|Pharmacy|CVS|D|133.23
2023-03-22|06:40:40|Subscription|Netflix|P|-124.71
2022-03-12|16:57:21|Coffee|Starbucks|P|-112.56
2022-06-23|18:40:38|Online Shopping|Amazon|P|-490.24
2023-11-10|23:01:38|Transport|Lyft|P|-365.97
2024-01-18|14:07:25|Groceries|Costco|P|-33.18
2025-04-23|08:08:29|Transport|Lyft|D|151.84
2025-06-24|16:37:21|Coffee|Starbucks|P|-39.41
2022-09-20|08:03:00|Groceries|Costco|D|162.48
2022-03-21|02:06:26|Electronics|Best Buy|P|-385.68
2022-07-24|16:17:54|Electronics|Best Buy|D|29.91
2022-06-23|11:52:23|Subscription|Netflix|P|-239.77
2023-02-18|17:21:08|Fast Food|McDonald's|P|-224.21
2025-11-21|12:31:03|Gas|Shell|P|-75.13
2025-12-07|18:10:25|Retail|Target|D|261.70
2022-06-30|19:09:15|Groceries|Walmart|D|467.37
2024-04-28|17:42:12|Fast Food|McDonald's|P|-302.28
2023-01-18|21:25:11|Groceries|Costco|D|357.83
2023-10-22|03:04:53|Gas|Shell|P|-440.66
2022-06-27|07:50:32|Subscription|Spotify|D|425.35
2024-02-25|01:16:38|Retail|Target|P|-380.11
2025-07-04|04:37:32|Online Shopping|Amazon|D|300.54
2024-12-04|08:38:43|Electronics|Apple|P|-307.24
2023-05-09|16:27:37|Electronics|Apple|P|-260.96
2025-03-17|01:36:17|Pharmacy|CVS|P|-455.07
2024-08-25|16:50:50|Hardware|Home Depot|D|449.00
2022-11-05|19:37:34|Groceries|Walmart|D|355.09
2023-09-06|14:52:19|Hardware|Home Depot|P|-375.73
2023-01-29|14:24:50|Subscription|Netflix|D|167.14
2022-07-10|22:10:09|Subscription|Netflix|D|111.20
2024-02-02|14:18:05|Fast Food|McDonald's|D|197.55
2023-07-08|12:00:14|Transport|Uber|P|-385.08
2022-05-29|17:12:07|Subscription|Spotify|P|-350.85
2022-08-26|10:25:51|Fast Food|McDonald's|P|-382.71
2023-10-05|05:21:16|Groceries|Walmart|P|-34.54
2022-09-12|19:20:59|Groceries|Costco|P|-38.91
2025-04-14|15:53:42|Groceries|Walmart|P|-492.80
2022-05-07|03:51:15|Hardware|Home Depot|P|-361.39
2025-01-09|01:14:54|Subscription|Spotify|D|439.45
2022-10-27|12:05:33|Retail|Target|D|7.35
2024-05-21|17:07:56|Subscription|Spotify|P|-201.13
2022-07-22|11:24:45|Electronics|Best Buy|D|63.66
2023-02-04|22:14:42|Groceries|Costco|P|-346.12
2024-01-04|11:50:21|Groceries|Costco|D|331.49
2025-12-26|07:14:35|Subscription|Netflix|P|-183.14
2022-05-13|23:45:39|Groceries|Costco|D|80.86
2024-01-03|07:00:13|Gas|Shell|D|390.97
2024-10-04|11:17:16|Transport|Uber|P|-88.79
2025-01-18|16:28:33|Fast Food|McDonald's|P|-243.81
2025-05-30|19:40:32|Transport|Lyft|P|-345.89
2025-04-06|11:57:27|Online Shopping|Amazon|D|93.37
2024-03-03|12:31:51|Electronics|Best Buy|P|-221.41
2022-05-25|04:41:27|Subscription|Spotify|P|-160.23
2023-01-21|22:41:48|Electronics|Apple|P|-102.71
2023-12-15|07:27:57|Subscription|Spotify|P|-311.46
2025-10-16|12:19:45|Groceries|Costco|D|336.23
2025-01-11|09:47:14|Pharmacy|CVS|P|-266.36
2024-12-31|22:41:03|Online Shopping|Amazon|P|-33.33
2024-01-06|19:17:44|Electronics|Best Buy|P|-56.50
2024-06-30|01:23:37|Groceries|Costco|D|129.19
2022-11-24|14:18:57|Hardware|Home Depot|D|237.05
2022-07-15|14:09:48|Online Shopping|Amazon|P|-475.78
2023-02-24|21:29:41|Fast Food|McDonald's|P|-449.07
2025-04-16|11:22:58|Subscription|Spotify|P|-390.18
2022-07-07|18:42:38|Subscription|Netflix|P|-104.71
2024-10-28|05:50:38|Subscription|Netflix|D|190.13
2025-07-28|16:28:38|Transport|Uber|D|355.17
2023-01-01|04:45:14|Fast Food|McDonald's|D|421.08
2022-08-31|14:17:07|Online Shopping|Amazon|P|-285.52
2022-05-29|19:15:43|Electronics|Apple|D|59.82
2025-02-27|02:34:19|Retail|Target|D|359.47
2022-07-05|15:59:23|Transport|Uber|D|349.19
2024-07-08|10:54:06|Transport|Lyft|P|-378.51
2022-12-29|06:42:20|Transport|Uber|D|316.06
2025-07-09|04:47:37|Pharmacy|CVS|D|61.37
2025-09-28|01:39:15|Fast Food|McDonald's|P|-258.58
2023-01-04|04:56:49|Transport|Uber|D|64.21
2023-06-05|03:20:33|Coffee|Starbucks|D|490.57
2022-05-12|09:54:23|Transport|Lyft|P|-428.21
2025-01-14|01:24:17|Groceries|Costco|D|440.71
2024-07-30|08:07:17|Electronics|Best Buy|P|-118.62
2025-11-26|18:44:48|Subscription|Spotify|D|439.41
2025-06-02|05:31:21|Hardware|Home Depot|P|-119.84
2024-12-29|17:06:02|Groceries|Walmart|P|-96.84
2024-10-23|00:45:06|Fast Food|McDonald's|P|-156.15
2024-06-14|17:17:53|Online Shopping|Amazon|D|224.70
2023-05-19|13:44:55|Subscription|Netflix|P|-216.84
2022-09-09|15:59:50|Fast Food|McDonald's|D|118.47
2023-01-25|11:31:49|Transport|Lyft|D|363.98
2025-12-27|23:59:16|Hardware|Home Depot|D|465.79
2024-06-29|14:16:25|Groceries|Costco|D|183.65
2024-04-08|02:52:57|Pharmacy|CVS|D|184.90
2024-03-04|00:42:15|Retail|Target|P|-497.64
2022-12-28|18:14:18|Pharmacy|CVS|P|-72.05
2022-08-01|19:07:33|Subscription|Netflix|D|67.30
2024-01-23|03:31:56|Transport|Lyft|P|-64.68
2023-02-11|18:32:28|Fast Food|McDonald's|D|158.97
2023-03-25|19:36:25|Retail|Target|P|-52.98
2024-01-06|13:51:54|Gas|Shell|P|-465.10
2022-08-16|17:46:39|Coffee|Starbucks|P|-36.30
2022-12-26|08:27:41|Transport|Lyft|P|-431.78
2023-04-15|02:11:00|Transport|Lyft|P|-185.52
2023-12-26|02:39:35|Retail|Target|P|-220.23
2025-10-25|02:32:01|Groceries|Walmart|D|424.57
2023-01-23|04:54:19|Electronics|Best Buy|D|30.60
2022-08-14|05:35:04|Subscription|Netflix|P|-68.89
2023-12-01|20:54:52|Subscription|Spotify|D|301.87
2022-04-30|00:05:42|Fast Food|McDonald's|D|375.08
2024-02-10|04:04:41|Coffee|Starbucks|P|-235.55
2022-07-07|07:47:41|Coffee|Starbucks|D|166.65
2023-09-30|12:42:33|Coffee|Starbucks|D|60.44
2022-04-26|21:20:49|Gas|Shell|P|-139.67
2022-10-21|01:41:59|Fast Food|McDonald's|D|39.06
2024-09-27|16:44:16|Hardware|Home Depot|P|-279.10
2022-06-05|07:22:40|Online Shopping|Amazon|D|387.69
2023-07-01|19:40:52|Retail|Target|P|-19.61
2025-04-18|17:15:42|Hardware|Home Depot|P|-77.82
2023-01-14|17:21:41|Groceries|Costco|P|-110.94
2025-04-03|17:19:56|Groceries|Walmart|P|-28.63
2024-04-07|11:45:03|Subscription|Spotify|P|-270.27
2024-09-18|03:19:24|Pharmacy|CVS|P|-454.07
2023-09-09|10:32:31|Fast Food|McDonald's|P|-407.47
2025-04-14|12:53:37|Groceries|Walmart|P|-259.00
2025-02-25|20:21:33|Subscription|Spotify|D|332.73
2024-09-25|15:48:44|Transport|Lyft|P|-435.97
2025-07-18|22:20:32|Electronics|Best Buy|D|10.94
2025-11-27|14:32:57|Subscription|Netflix|P|-474.71
2022-08-21|06:16:34|Groceries|Walmart|D|70.96
2023-05-14|15:14:25|Transport|Lyft|P|-191.38
2025-09-25|04:57:57|Electronics|Apple|D|13.62
2025-10-19|23:59:48|Gas|Shell|P|-434.43
2022-11-19|02:48:07|Hardware|Home Depot|D|334.73
2025-09-06|18:37:18|Electronics|Apple|D|206.86
2022-10-18|15:40:08|Pharmacy|CVS|D|191.01
2025-12-11|06:23:16|Transport|Lyft|D|84.74
2024-05-30|02:07:31|Subscription|Netflix|P|-408.03
2025-03-04|08:39:06|Transport|Lyft|P|-206.90
2022-06-20|01:09:07|Electronics|Best Buy|D|333.95
2022-02-28|12:54:13|Online Shopping|Amazon|P|-235.38
2022-02-08|08:23:00|Groceries|Walmart|D|323.69
2025-09-06|08:54:17|Groceries|Walmart|D|471.93
2024-10-16|03:17:34|Transport|Uber|D|100.41
2024-03-30|04:55:07|Groceries|Walmart|P|-31.68
2023-02-12|10:01:52|Gas|Shell|P|-289.88
2022-07-04|12:01:06|Subscription|Netflix|P|-434.18
2025-05-05|06:29:22|Groceries|Costco|P|-473.68
2024-03-13|14:35:25|Electronics|Apple|P|-433.66
2022-12-09|13:14:13|Fast Food|McDonald's|P|-271.03
2022-04-13|21:51:07|Fast Food|McDonald's|P|-402.22
2023-05-12|10:47:09|Online Shopping|Amazon|D|308.45
2022-02-14|12:28:30|Transport|Uber|D|132.56
2025-11-28|09:57:35|Subscription|Netflix|D|347.50
2023-10-02|11:07:36|Retail|Target|D|51.12
2023-12-30|06:02:11|Groceries|Walmart|P|-423.26
2023-01-27|13:05:59|Hardware|Home Depot|D|73.85
2025-06-07|00:31:26|Groceries|Walmart|D|198.67
2023-03-12|12:19:31|Pharmacy|CVS|D|92.77
2022-12-23|13:55:30|Hardware|Home Depot|D|493.70
2022-03-05|13:23:41|Gas|Shell|P|-47.17
2024-05-13|02:32:46|Coffee|Starbucks|P|-356.18
2024-05-26|12:41:02|Hardware|Home Depot|D|425.36
2023-07-15|08:22:49|Pharmacy|CVS|D|494.45
2025-07-23|13:18:01|Groceries|Walmart|D|462.92
2022-12-04|06:08:58|Transport|Uber|D|246.45
2022-06-23|06:08:22|Retail|Target|D|354.49
2023-10-21|22:55:44|Subscription|Spotify|D|201.39
2025-03-30|03:10:28|Pharmacy|CVS|D|342.81
2022-12-26|17:28:09|Transport|Lyft|D|468.59
2023-04-29|00:00:07|Online Shopping|Amazon|P|-153.48
2023-06-16|02:58:33|Retail|Target|P|-59.69
2024-02-03|12:03:08|Gas|Shell|P|-383.39
2024-10-29|18:06:39|Groceries|Costco|D|314.95
2022-09-18|18:54:49|Electronics|Best Buy|D|57.01
2024-08-21|22:14:01|Retail|Target|P|-219.41
2025-12-10|11:39:07|Coffee|Starbucks|D|360.15
2025-04-03|11:53:24|Hardware|Home Depot|D|468.65
2025-03-25|02:10:16|Hardware|Home Depot|D|257.21
2025-05-17|15:17:32|Hardware|Home Depot|P|-252.66
2025-03-03|16:11:27|Groceries|Costco|P|-121.36
2025-01-18|13:55:55|Online Shopping|Amazon|P|-251.26
2023-05-07|15:14:16|Coffee|Starbucks|P|-4.90
2022-09-13|07:19:43|Hardware|Home Depot|D|390.12
2025-10-27|09:21:39|Subscription|Spotify|D|487.08
2023-11-20|13:26:58|Hardware|Home Depot|P|-255.96
2023-06-14|12:40:48|Electronics|Apple|D|493.27
2025-11-10|05:18:40|Electronics|Best Buy|D|57.04
2022-11-03|01:53:17|Transport|Lyft|D|222.59
2023-02-24|18:46:45|Electronics|Best Buy|P|-309.36
2023-03-12|12:41:57|Groceries|Walmart|P|-295.98
2022-02-14|09:17:13|Groceries|Walmart|D|129.20
2025-05-31|17:18:49|Transport|Uber|P|-406.96
2025-12-05|04:49:55|Hardware|Home Depot|P|-125.34
2023-08-25|22:16:57|Subscription|Spotify|D|186.03
2022-03-15|02:46:29|Electronics|Apple|D|13.33
2023-11-03|18:42:45|Transport|Lyft|D|345.06
2025-02-01|20:25:25|Groceries|Walmart|D|332.08
2022-01-03|17:58:48|Groceries|Walmart|D|159.95
2023-04-14|15:54:48|Hardware|Home Depot|P|-78.07
2023-09-06|00:48:15|Hardware|Home Depot|P|-376.51
2025-02-28|04:29:22|Subscription|Spotify|D|28.02
2024-02-09|04:14:54|Electronics|Best Buy|P|-16.71
2022-11-21|06:55:36|Electronics|Best Buy|P|-251.52
2023-09-11|21:35:01|Transport|Lyft|P|-307.41
2023-02-11|08:14:39|Gas|Shell|P|-319.00
2022-04-05|00:16:57|Subscription|Netflix|P|-395.86
2022-05-03|00:19:37|Hardware|Home Depot|D|177.31
2023-06-11|18:44:15|Coffee|Starbucks|D|304.39
2025-08-17|15:53:37|Hardware|Home Depot|D|91.14
2025-03-16|23:45:53|Hardware|Home Depot|D|278.03
2023-09-26|13:29:44|Pharmacy|CVS|P|-158.77
2022-06-06|08:14:24|Electronics|Apple|P|-336.37
2024-05-05|11:56:13|Retail|Target|P|-275.58
2025-07-02|08:00:44|Groceries|Walmart|P|-304.06
2022-03-01|01:47:33|Pharmacy|CVS|D|159.99
2025-12-04|22:03:03|Transport|Lyft|P|-441.86
2023-10-06|23:46:44|Retail|Target|D|490.24
2023-08-01|06:36:14|Fast Food|McDonald's|P|-319.14
2023-09-24|20:31:30|Groceries|Walmart|D|118.86
2025-07-02|00:10:54|Hardware|Home Depot|P|-54.13
2022-10-06|05:47:10|Coffee|Starbucks|P|-88.45
2023-09-08|16:52:59|Electronics|Best Buy|D|157.84
2024-11-07|21:18:29|Coffee|Starbucks|D|223.31
2025-04-30|22:57:25|Online Shopping|Amazon|P|-90.39
2024-09-27|05:09:33|Pharmacy|CVS|D|134.84
2024-02-28|17:45:17|Online Shopping|Amazon|P|-95.10
2025-01-23|17:49:27|Transport|Lyft|P|-144.27
2022-04-09|03:55:52|Gas|Shell|D|30.16
2025-04-14|05:21:03|Transport|Lyft|D|326.99
2024-12-30|16:15:39|Pharmacy|CVS|P|-164.66
2023-08-05|07:41:12|Subscription|Netflix|P|-293.70
2024-12-05|13:41:35|Electronics|Best Buy|P|-366.70
2022-09-07|08:53:09|Pharmacy|CVS|P|-2.97
2023-05-11|23:20:25|Groceries|Costco|P|-474.56
2022-06-01|13:47:50|Pharmacy|CVS|P|-155.83
2022-11-11|15:07:19|Transport|Uber|P|-367.53
2025-09-18|13:05:54|Electronics|Apple|P|-146.21
2022-12-20|12:25:39|Online Shopping|Amazon|D|470.67
2022-08-05|11:02:06|Groceries|Walmart|P|-296.86
2022-06-22|09:31:01|Retail|Target|D|463.54
2022-05-21|01:15:53|Transport|Uber|D|140.29
2022-11-01|07:11:33|Electronics|Apple|P|-360.02
2025-09-06|18:33:31|Subscription|Netflix|P|-458.27
2022-01-03|21:52:04|Subscription|Spotify|P|-339.92
2025-03-26|11:35:02|Online Shopping|Amazon|P|-7.84
2024-10-25|11:28:51|Transport|Lyft|D|76.33
2022-06-15|00:26:43|Groceries|Costco|P|-186.04
2023-12-29|20:30:00|Retail|Target|P|-92.61
2022-05-26|16:10:00|Coffee|Starbucks|P|-271.12
2022-06-06|15:52:07|Transport|Lyft|D|465.92
2025-02-13|15:02:37|Groceries|Costco|D|75.76
2023-09-06|23:29:18|Subscription|Spotify|D|151.01
2025-08-19|02:00:09|Subscription|Spotify|P|-429.38
2024-10-03|15:55:29|Transport|Uber|D|105.73
2022-08-15|17:16:28|Electronics|Apple|P|-33.45
2025-09-21|06:00:43|Subscription|Netflix|D|496.79
2025-12-10|10:55:11|Transport|Uber|P|-389.05
2022-08-22|09:22:45|Groceries|Walmart|D|17.08
2022-02-14|17:55:30|Online Shopping|Amazon|D|359.13
2023-03-16|01:43:41|Groceries|Costco|D|336.69
2022-11-07|21:11:25|Groceries|Walmart|P|-285.03
2024-09-23|06:20:32|Subscription|Netflix|P|-378.60
2023-03-23|06:00:25|Electronics|Apple|D|432.30
2023-03-30|03:04:48|Electronics|Best Buy|P|-132.73
2025-11-14|09:14:51|Retail|Target|P|-473.84
2023-08-05|02:18:00|Groceries|Costco|P|-192.24
2024-12-08|12:57:05|Groceries|Walmart|P|-387.04
2023-05-08|10:02:58|Retail|Target|P|-21.47
2022-01-09|12:38:52|Gas|Shell|P|-446.78
2022-06-09|06:30:39|Coffee|Starbucks|P|-134.95
2024-02-12|13:08:46|Gas|Shell|D|385.43
2023-09-13|11:00:46|Transport|Uber|D|256.90
2023-04-20|06:03:25|Coffee|Starbucks|D|333.87
2022-09-29|12:38:02|Coffee|Starbucks|P|-165.70
2025-04-26|14:24:02|Groceries|Walmart|D|251.55
2025-02-03|01:25:38|Groceries|Costco|P|-409.27
2025-05-17|15:03:16|Coffee|Starbucks|P|-76.58
2022-11-23|22:51:41|Groceries|Walmart|D|8.14
2022-10-03|00:23:25|Electronics|Apple|D|273.67
2024-11-20|01:31:59|Hardware|Home Depot|P|-243.54
2022-08-05|09:20:18|Coffee|Starbucks|P|-443.72
2023-07-22|10:05:41|Gas|Shell|D|429.33
2023-07-01|20:37:10|Subscription|Spotify|D|228.48
2023-06-21|05:28:23|Groceries|Costco|D|25.02
2025-03-19|03:34:04|Gas|Shell|D|7.46
2025-12-16|13:51:09|Subscription|Spotify|D|230.75
2022-11-27|14:44:59|Transport|Uber|P|-291.56
2022-10-28|20:51:48|Subscription|Spotify|D|403.99
2023-01-31|09:15:14|Transport|Uber|P|-239.67
2023-08-17|02:47:16|Pharmacy|CVS|P|-259.35
2023-08-14|12:15:38|Transport|Lyft|P|-489.84
2022-05-14|21:00:59|Hardware|Home Depot|D|167.71
2025-05-05|09:17:46|Hardware|Home Depot|P|-179.91
2025-04-15|00:30:41|Electronics|Apple|D|187.65
2023-03-16|06:03:37|Subscription|Netflix|P|-32.03
2024-05-30|22:03:06|Coffee|Starbucks|P|-284.97
2023-03-01|15:12:05|Hardware|Home Depot|P|-85.38
2022-06-04|16:19:20|Groceries|Walmart|P|-173.60
2023-06-28|22:48:11|Groceries|Walmart|D|101.62
2024-12-23|20:15:55|Transport|Uber|P|-59.09
2022-11-19|23:40:23|Fast Food|McDonald's|P|-107.24
2024-11-27|15:53:52|Subscription|Netflix|D|58.91
2025-04-24|04:25:03|Coffee|Starbucks|D|347.51
2024-11-25|06:34:47|Gas|Shell|D|491.57
2022-03-30|16:40:47|Gas|Shell|D|81.64
2023-06-23|03:46:05|Subscription|Netflix|D|184.52
2022-06-24|05:28:14|Coffee|Starbucks|D|193.92
2025-08-22|07:22:34|Gas|Shell|D|260.18
2023-01-02|19:58:47|Subscription|Spotify|D|296.85
2025-05-04|18:54:47|Subscription|Spotify|P|-389.85
2023-10-06|06:38:16|Electronics|Best Buy|D|273.73
2025-09-06|22:00:39|Fast Food|McDonald's|P|-470.40
2022-11-15|09:40:03|Gas|Shell|P|-495.65
2022-03-08|23:29:03|Coffee|Starbucks|D|412.16
2024-07-23|16:08:22|Gas|Shell|P|-68.73
2023-08-31|09:28:44|Hardware|Home Depot|P|-120.89
2024-02-17|07:08:40|Online Shopping|Amazon|P|-51.98
2023-01-03|05:40:09|Groceries|Walmart|P|-71.66
2024-12-20|09:46:36|Electronics|Apple|P|-325.69
2025-03-08|18:32:25|Gas|Shell|P|-260.52
2022-12-07|02:14:53|Electronics|Best Buy|D|280.98
2023-03-21|06:01:11|Gas|Shell|D|124.55
2024-01-20|20:18:08|Groceries|Costco|D|392.40
2023-10-21|20:50:40|Retail|Target|D|124.51
2023-05-05|08:19:28|Electronics|Best Buy|P|-337.25
2023-12-29|00:07:06|Subscription|Spotify|P|-332.17
2025-04-18|14:44:16|Retail|Target|P|-316.82
2022-11-22|22:41:03|Fast Food|McDonald's|P|-293.14
2023-04-11|07:45:53|Gas|Shell|P|-188.04
2023-07-26|23:18:50|Pharmacy|CVS|P|-355.08
2025-10-26|21:15:32|Subscription|Spotify|P|-392.04
2024-10-23|11:37:04|Online Shopping|Amazon|D|86.22
2023-03-17|19:03:52|Pharmacy|CVS|D|109.80
2025-05-22|11:03:47|Fast Food|McDonald's|D|398.59
2022-10-06|07:38:41|Subscription|Spotify|P|-63.08
2025-10-11|23:47:57|Fast Food|McDonald's|P|-455.83
2025-09-01|09:26:56|Retail|Target|P|-207.92
2022-09-21|17:09:58|Groceries|Walmart|D|167.89
2022-11-24|07:55:21|Transport|Uber|D|59.05
2025-06-15|20:57:23|Subscription|Spotify|P|-78.30
2024-08-17|17:28:15|Transport|Uber|P|-418.45
2025-07-29|04:47:11|Gas|Shell|D|283.91
2023-02-20|12:15:58|Pharmacy|CVS|P|-206.02
2023-02-12|20:49:45|Groceries|Walmart|P|-415.88
2025-01-29|03:41:47|Retail|Target|P|-308.26
2023-11-05|07:01:25|Hardware|Home Depot|P|-374.00
2025-03-23|22:04:02|Electronics|Apple|D|485.96
2023-10-29|05:15:05|Transport|Lyft|P|-16.80
2025-11-05|12:32:11|Transport|Uber|D|208.95
2025-05-28|14:10:23|Groceries|Walmart|D|160.34
2024-06-03|19:26:10|Subscription|Spotify|P|-84.54
2022-09-08|08:12:32|Pharmacy|CVS|P|-326.64
2023-06-23|16:52:55|Transport|Lyft|D|105.93
2022-09-09|17:38:01|Pharmacy|CVS|P|-97.62
2023-11-28|08:51:45|Pharmacy|CVS|P|-470.56
2022-04-22|03:13:09|Hardware|Home Depot|D|239.67
2024-05-05|11:36:46|Gas|Shell|P|-359.04
2025-09-27|06:38:48|Online Shopping|Amazon|D|244.87
2025-10-12|11:09:58|Hardware|Home Depot|P|-123.58
2025-06-01|22:59:57|Fast Food|McDonald's|D|153.89
2022-08-12|16:02:53|Subscription|Spotify|D|481.60
2022-12-24|06:34:52|Transport|Lyft|D|132.22
2023-04-24|02:12:06|Subscription|Spotify|D|461.46
2025-11-08|08:02:30|Subscription|Spotify|P|-375.73
2024-09-02|16:20:48|Retail|Target|D|1.68
2025-11-25|01:00:31|Groceries|Costco|D|315.68
2025-08-25|07:14:20|Groceries|Costco|D|437.06
2022-12-10|01:45:04|Groceries|Costco|P|-122.62
2024-06-08|02:52:13|Electronics|Best Buy|D|450.76
2023-02-19|08:22:37|Electronics|Best Buy|D|298.57
2023-01-01|00:38:49|Electronics|Best Buy|P|-136.28
2022-04-29|00:33:52|Pharmacy|CVS|P|-16.45
2024-06-22|01:35:43|Subscription|Spotify|D|13.06
2023-01-28|00:31:04|Coffee|Starbucks|P|-251.07
2023-02-03|01:48:52|Gas|Shell|D|152.37
2025-04-12|13:59:21|Online Shopping|Amazon|P|-62.48
